Role,Experience,Languages,Industry,Familiarity,AI Interests,AI Tool Usage,Confidence Level,Motivation,Preferred Format,Important Features,Challenges,Campaign Interest,Advertisement Type,Learning Sources,Post-Course Goals,Expected Content,Additional Comments
Fresh Graduate,More than 5 years,Go; C++/C#,Freelancing,Somewhat familiar,Code generation and optimization; Learning state-of-the-art AI techniques; Automating repetitive development tasks,No,Confident,Building innovative projects,Mixed format (self-paced + live),Community/forum for peer discussion; Certification; Flexibility in schedule; Access to mentors or instructors; Hands-on projects,Time constraints,Real-world project portfolio,Success stories/testimonials,"Tech Blogs/Newsletters; Other; Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,1–2 years,JavaScript/TypeScript; Python,Tech Startup,Familiar but haven’t used them,Debugging and testing enhancements; Learning state-of-the-art AI techniques; Creating AI-powered applications; Other,Yes (please specify),Not confident,Building innovative projects,Live interactive sessions,Community/forum for peer discussion; Certification; Access to mentors or instructors; Flexibility in schedule; Hands-on projects,Time constraints,Real-world project portfolio,Short demo/tutorial video of AI tools,Google Search/Ads,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,Java,Enterprise Software,Not familiar,Debugging and testing enhancements,Yes (please specify),Confident,Career advancement,Live interactive sessions,Community/forum for peer discussion; Certification; Access to mentors or instructors; Flexibility in schedule; Hands-on projects,Limited practical application,Competitive pricing,Infographic showing key benefits,"Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,Less than 1 year,Go; Other,Freelancing,Familiar but haven’t used them,Creating AI-powered applications; Code generation and optimization,Yes (please specify),Somewhat confident,Staying up-to-date with industry trends,Mixed format (self-paced + live),Community/forum for peer discussion; Hands-on projects; Access to mentors or instructors; Certification; Flexibility in schedule,Limited practical application,Testimonials from past learners,Infographic showing key benefits,"Online course platforms (e.g., Coursera, Udemy); Tech Blogs/Newsletters; Recommendations from peers",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,Other; Java; Python,Enterprise Software,Not familiar,Automating repetitive development tasks; Debugging and testing enhancements; Other,Yes (please specify),Somewhat confident,Staying up-to-date with industry trends,Self-paced videos,Certification; Community/forum for peer discussion; Flexibility in schedule; Access to mentors or instructors; Hands-on projects,Lack of interactivity,Industry-recognized certification,Comparison of skills before/after the course,Google Search/Ads,Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,1–2 years,Java; Python; C++/C#,Freelancing,Not familiar,Creating AI-powered applications,No,Not confident,Building innovative projects,Mixed format (self-paced + live),Access to mentors or instructors; Community/forum for peer discussion; Certification; Flexibility in schedule; Hands-on projects,Time constraints,Industry-recognized certification,Infographic showing key benefits,Recommendations from peers,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,Go; Other; Python,Enterprise Software,Actively using them,Learning state-of-the-art AI techniques; Code generation and optimization,Yes (please specify),Not confident,Staying up-to-date with industry trends,Self-paced videos,Community/forum for peer discussion; Access to mentors or instructors; Hands-on projects; Certification; Flexibility in schedule,Time constraints,Endorsements from experts in the field,Success stories/testimonials,"Social Media (e.g., LinkedIn, Twitter); Google Search/Ads; Tech Blogs/Newsletters",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,Less than 1 year,Other,Enterprise Software,Somewhat familiar,Code generation and optimization; Debugging and testing enhancements; Creating AI-powered applications,No,Confident,Building innovative projects,Project-based learning,Hands-on projects; Community/forum for peer discussion; Certification; Access to mentors or instructors; Flexibility in schedule,Limited practical application,Endorsements from experts in the field,Short demo/tutorial video of AI tools,"Google Search/Ads; Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,Less than 1 year,C++/C#,Other,Actively using them,Code generation and optimization; Automating repetitive development tasks,Yes (please specify),Confident,Enhancing productivity,Self-paced videos,Hands-on projects; Flexibility in schedule; Certification; Access to mentors or instructors; Community/forum for peer discussion,Cost,Testimonials from past learners,Short demo/tutorial video of AI tools,Tech Blogs/Newsletters,Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,Other; Python; JavaScript/TypeScript,Tech Startup,Not familiar,Debugging and testing enhancements; Other,Yes (please specify),Somewhat confident,Building innovative projects,Project-based learning,Certification; Access to mentors or instructors; Flexibility in schedule; Community/forum for peer discussion; Hands-on projects,Time constraints,Endorsements from experts in the field,Success stories/testimonials,"Social Media (e.g., LinkedIn, Twitter); Recommendations from peers; Google Search/Ads",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,1–2 years,C++/C#,Enterprise Software,Familiar but haven’t used them,Other; Debugging and testing enhancements; Creating AI-powered applications; Learning state-of-the-art AI techniques,Yes (please specify),Not confident,Other,Mixed format (self-paced + live),Flexibility in schedule; Hands-on projects; Certification; Access to mentors or instructors; Community/forum for peer discussion,Other,Real-world project portfolio,Short demo/tutorial video of AI tools,"Tech Blogs/Newsletters; Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,1–2 years,Python; Java; JavaScript/TypeScript,Tech Startup,Not familiar,Learning state-of-the-art AI techniques; Creating AI-powered applications; Other; Code generation and optimization,Yes (please specify),Confident,Staying up-to-date with industry trends,Project-based learning,Community/forum for peer discussion; Certification; Access to mentors or instructors; Flexibility in schedule; Hands-on projects,Limited practical application,Endorsements from experts in the field,Short demo/tutorial video of AI tools,"Online course platforms (e.g., Coursera, Udemy); Google Search/Ads",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,Python; Go; JavaScript/TypeScript,Freelancing,Not familiar,Other; Learning state-of-the-art AI techniques; Automating repetitive development tasks; Debugging and testing enhancements,No,Somewhat confident,Staying up-to-date with industry trends,Project-based learning,Certification; Hands-on projects; Access to mentors or instructors; Community/forum for peer discussion; Flexibility in schedule,Limited practical application,Testimonials from past learners,Infographic showing key benefits,"Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,1–2 years,Go,Other,Actively using them,Debugging and testing enhancements,Yes (please specify),Not confident,Building innovative projects,Live interactive sessions,Access to mentors or instructors; Community/forum for peer discussion; Certification; Flexibility in schedule; Hands-on projects,Cost,Industry-recognized certification,Short demo/tutorial video of AI tools,"Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,Less than 1 year,Go,Other,Not familiar,Learning state-of-the-art AI techniques; Other; Automating repetitive development tasks,No,Confident,Enhancing productivity,Self-paced videos,Community/forum for peer discussion; Hands-on projects; Access to mentors or instructors; Flexibility in schedule; Certification,Time constraints,Real-world project portfolio,Comparison of skills before/after the course,Other,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,3–5 years,C++/C#; Python,Other,Actively using them,Other; Code generation and optimization; Automating repetitive development tasks,No,Confident,Building innovative projects,Live interactive sessions,Certification; Hands-on projects; Flexibility in schedule; Community/forum for peer discussion; Access to mentors or instructors,Other,Real-world project portfolio,Comparison of skills before/after the course,Tech Blogs/Newsletters; Recommendations from peers,Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,1–2 years,Other; Java; Go,Freelancing,Not familiar,Creating AI-powered applications,Yes (please specify),Somewhat confident,Enhancing productivity,Mixed format (self-paced + live),Certification; Community/forum for peer discussion; Access to mentors or instructors; Flexibility in schedule; Hands-on projects,Limited practical application,Industry-recognized certification,Short demo/tutorial video of AI tools,"Tech Blogs/Newsletters; Social Media (e.g., LinkedIn, Twitter); Recommendations from peers",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,More than 5 years,C++/C#,Enterprise Software,Familiar but haven’t used them,Code generation and optimization; Creating AI-powered applications; Other; Debugging and testing enhancements,Yes (please specify),Not confident,Building innovative projects,Mixed format (self-paced + live),Access to mentors or instructors; Certification; Flexibility in schedule; Hands-on projects; Community/forum for peer discussion,Cost,Testimonials from past learners,Comparison of skills before/after the course,"Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,1–2 years,Go,Freelancing,Familiar but haven’t used them,Learning state-of-the-art AI techniques; Debugging and testing enhancements; Other; Creating AI-powered applications,Yes (please specify),Confident,Career advancement,Live interactive sessions,Access to mentors or instructors; Certification; Flexibility in schedule; Hands-on projects; Community/forum for peer discussion,Other,Endorsements from experts in the field,Comparison of skills before/after the course,Other,Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,1–2 years,Python; Go; JavaScript/TypeScript,Enterprise Software,Somewhat familiar,Other,Yes (please specify),Somewhat confident,Building innovative projects,Self-paced videos,Certification; Access to mentors or instructors; Hands-on projects; Community/forum for peer discussion; Flexibility in schedule,Time constraints,Real-world project portfolio,Success stories/testimonials,"Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,Other,Enterprise Software,Actively using them,Learning state-of-the-art AI techniques,No,Confident,Staying up-to-date with industry trends,Project-based learning,Flexibility in schedule; Hands-on projects; Community/forum for peer discussion; Certification; Access to mentors or instructors,Other,Testimonials from past learners,Comparison of skills before/after the course,"Online course platforms (e.g., Coursera, Udemy); Google Search/Ads; Tech Blogs/Newsletters",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,Other; C++/C#; Java,Freelancing,Somewhat familiar,Creating AI-powered applications; Automating repetitive development tasks; Code generation and optimization; Debugging and testing enhancements,No,Not confident,Enhancing productivity,Live interactive sessions,Hands-on projects; Flexibility in schedule; Community/forum for peer discussion; Access to mentors or instructors; Certification,Limited practical application,Competitive pricing,Success stories/testimonials,"Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,JavaScript/TypeScript; Java; Go,Enterprise Software,Familiar but haven’t used them,Creating AI-powered applications; Debugging and testing enhancements,Yes (please specify),Confident,Building innovative projects,Project-based learning,Access to mentors or instructors; Community/forum for peer discussion; Hands-on projects; Flexibility in schedule; Certification,Other,Endorsements from experts in the field,Comparison of skills before/after the course,"Other; Recommendations from peers; Social Media (e.g., LinkedIn, Twitter)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,Less than 1 year,JavaScript/TypeScript; Go; C++/C#,Other,Familiar but haven’t used them,Automating repetitive development tasks,No,Confident,Building innovative projects,Project-based learning,Community/forum for peer discussion; Certification; Flexibility in schedule; Access to mentors or instructors; Hands-on projects,Cost,Endorsements from experts in the field,Success stories/testimonials,"Online course platforms (e.g., Coursera, Udemy); Other; Google Search/Ads",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,More than 5 years,Other; C++/C#; Go,Tech Startup,Somewhat familiar,Automating repetitive development tasks; Learning state-of-the-art AI techniques; Creating AI-powered applications,No,Confident,Career advancement,Self-paced videos,Certification; Flexibility in schedule; Hands-on projects; Community/forum for peer discussion; Access to mentors or instructors,Lack of interactivity,Industry-recognized certification,Success stories/testimonials,Google Search/Ads; Recommendations from peers,Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,More than 5 years,Python,Other,Familiar but haven’t used them,Other; Code generation and optimization,Yes (please specify),Somewhat confident,Staying up-to-date with industry trends,Self-paced videos,Flexibility in schedule; Access to mentors or instructors; Certification; Community/forum for peer discussion; Hands-on projects,Cost,Competitive pricing,Infographic showing key benefits,"Social Media (e.g., LinkedIn, Twitter); Recommendations from peers",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,1–2 years,Java; JavaScript/TypeScript; Other,Other,Not familiar,Automating repetitive development tasks; Other,Yes (please specify),Somewhat confident,Career advancement,Mixed format (self-paced + live),Access to mentors or instructors; Certification; Flexibility in schedule; Hands-on projects; Community/forum for peer discussion,Time constraints,Industry-recognized certification,Short demo/tutorial video of AI tools,"Social Media (e.g., LinkedIn, Twitter); Other; Tech Blogs/Newsletters",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,Other,Enterprise Software,Familiar but haven’t used them,Learning state-of-the-art AI techniques; Debugging and testing enhancements,No,Confident,Other,Project-based learning,Access to mentors or instructors; Community/forum for peer discussion; Certification; Hands-on projects; Flexibility in schedule,Other,Real-world project portfolio,Success stories/testimonials,"Online course platforms (e.g., Coursera, Udemy); Social Media (e.g., LinkedIn, Twitter); Tech Blogs/Newsletters",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,3–5 years,Java,Other,Not familiar,Other; Code generation and optimization,No,Confident,Career advancement,Mixed format (self-paced + live),Hands-on projects; Certification; Access to mentors or instructors; Flexibility in schedule; Community/forum for peer discussion,Lack of interactivity,Testimonials from past learners,Short demo/tutorial video of AI tools,"Social Media (e.g., LinkedIn, Twitter); Other; Recommendations from peers",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,3–5 years,Other; Java; Go,Freelancing,Somewhat familiar,Code generation and optimization,No,Confident,Staying up-to-date with industry trends,Mixed format (self-paced + live),Hands-on projects; Community/forum for peer discussion; Flexibility in schedule; Access to mentors or instructors; Certification,Time constraints,Real-world project portfolio,Infographic showing key benefits,Recommendations from peers,Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,3–5 years,JavaScript/TypeScript; C++/C#,Tech Startup,Actively using them,Debugging and testing enhancements,No,Confident,Career advancement,Self-paced videos,Certification; Flexibility in schedule; Community/forum for peer discussion; Access to mentors or instructors; Hands-on projects,Time constraints,Industry-recognized certification,Short demo/tutorial video of AI tools,Tech Blogs/Newsletters; Other; Google Search/Ads,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,More than 5 years,JavaScript/TypeScript; Java,Tech Startup,Actively using them,Debugging and testing enhancements; Other; Creating AI-powered applications; Automating repetitive development tasks,No,Somewhat confident,Enhancing productivity,Live interactive sessions,Hands-on projects; Certification; Flexibility in schedule; Community/forum for peer discussion; Access to mentors or instructors,Time constraints,Endorsements from experts in the field,Infographic showing key benefits,"Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in JavaScript/TypeScript using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Senior Software Engineer,More than 5 years,JavaScript/TypeScript; C++/C#,Enterprise Software,Somewhat familiar,Creating AI-powered applications; Code generation and optimization; Learning state-of-the-art AI techniques; Automating repetitive development tasks,Yes (please specify),Confident,Building innovative projects,Live interactive sessions,Flexibility in schedule; Access to mentors or instructors; Certification; Hands-on projects; Community/forum for peer discussion,Cost,Real-world project portfolio,Comparison of skills before/after the course,"Social Media (e.g., LinkedIn, Twitter); Recommendations from peers",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,1–2 years,JavaScript/TypeScript,Freelancing,Familiar but haven’t used them,Debugging and testing enhancements,Yes (please specify),Not confident,Building innovative projects,Project-based learning,Flexibility in schedule; Access to mentors or instructors; Community/forum for peer discussion; Certification; Hands-on projects,Limited practical application,Real-world project portfolio,Infographic showing key benefits,Tech Blogs/Newsletters; Other; Recommendations from peers,Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,More than 5 years,C++/C#; Other,Enterprise Software,Not familiar,Automating repetitive development tasks; Creating AI-powered applications,No,Somewhat confident,Enhancing productivity,Project-based learning,Community/forum for peer discussion; Access to mentors or instructors; Hands-on projects; Flexibility in schedule; Certification,Other,Real-world project portfolio,Success stories/testimonials,"Online course platforms (e.g., Coursera, Udemy); Recommendations from peers",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,Less than 1 year,Other; Go; Java,Freelancing,Not familiar,Learning state-of-the-art AI techniques; Debugging and testing enhancements; Other,No,Confident,Building innovative projects,Project-based learning,Community/forum for peer discussion; Hands-on projects; Certification; Flexibility in schedule; Access to mentors or instructors,Other,Real-world project portfolio,Infographic showing key benefits,"Online course platforms (e.g., Coursera, Udemy); Other; Tech Blogs/Newsletters",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,Go; JavaScript/TypeScript,Other,Not familiar,Other,No,Not confident,Building innovative projects,Project-based learning,Access to mentors or instructors; Flexibility in schedule; Hands-on projects; Certification; Community/forum for peer discussion,Limited practical application,Industry-recognized certification,Short demo/tutorial video of AI tools,Recommendations from peers; Google Search/Ads,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,More than 5 years,Python,Other,Actively using them,Code generation and optimization,Yes (please specify),Confident,Other,Live interactive sessions,Certification; Access to mentors or instructors; Hands-on projects; Flexibility in schedule; Community/forum for peer discussion,Other,Industry-recognized certification,Short demo/tutorial video of AI tools,"Recommendations from peers; Online course platforms (e.g., Coursera, Udemy); Other",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,1–2 years,Java; JavaScript/TypeScript; Other,Freelancing,Actively using them,Creating AI-powered applications; Code generation and optimization,No,Somewhat confident,Other,Project-based learning,Community/forum for peer discussion; Flexibility in schedule; Hands-on projects; Access to mentors or instructors; Certification,Other,Real-world project portfolio,Short demo/tutorial video of AI tools,"Tech Blogs/Newsletters; Recommendations from peers; Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Other using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,1–2 years,Java; Go,Other,Not familiar,Learning state-of-the-art AI techniques; Other,Yes (please specify),Confident,Staying up-to-date with industry trends,Self-paced videos,Access to mentors or instructors; Flexibility in schedule; Hands-on projects; Certification; Community/forum for peer discussion,Time constraints,Real-world project portfolio,Infographic showing key benefits,"Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,3–5 years,JavaScript/TypeScript,Enterprise Software,Not familiar,Debugging and testing enhancements; Creating AI-powered applications,No,Somewhat confident,Other,Self-paced videos,Certification; Access to mentors or instructors; Hands-on projects; Community/forum for peer discussion; Flexibility in schedule,Cost,Industry-recognized certification,Infographic showing key benefits,"Social Media (e.g., LinkedIn, Twitter); Other",Achieve expertise in Python using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Mid-level Software Engineer,1–2 years,Go; Python,Other,Somewhat familiar,Other,Yes (please specify),Confident,Staying up-to-date with industry trends,Self-paced videos,Certification; Community/forum for peer discussion; Access to mentors or instructors; Hands-on projects; Flexibility in schedule,Other,Real-world project portfolio,Comparison of skills before/after the course,"Tech Blogs/Newsletters; Online course platforms (e.g., Coursera, Udemy)",Achieve expertise in Go using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Fresh Graduate,More than 5 years,Other,Freelancing,Actively using them,Creating AI-powered applications; Code generation and optimization; Learning state-of-the-art AI techniques,No,Somewhat confident,Other,Mixed format (self-paced + live),Hands-on projects; Certification; Access to mentors or instructors; Flexibility in schedule; Community/forum for peer discussion,Other,Endorsements from experts in the field,Short demo/tutorial video of AI tools,Google Search/Ads,Achieve expertise in C++/C# using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
Junior Software Engineer,More than 5 years,Go; Java; C++/C#,Enterprise Software,Not familiar,Learning state-of-the-art AI techniques; Other; Creating AI-powered applications,Yes (please specify),Not confident,Staying up-to-date with industry trends,Mixed format (self-paced + live),Flexibility in schedule; Community/forum for peer discussion; Access to mentors or instructors; Hands-on projects; Certification,Other,Testimonials from past learners,Short demo/tutorial video of AI tools,"Social Media (e.g., LinkedIn, Twitter); Tech Blogs/Newsletters; Other",Achieve expertise in Java using AI technologies.,Integration of Generative AI in modern software workflows.,Excited to learn how to use AI to streamline development.
